index num in1 in2 in3 in4 in5 in6 in7 in8
1 4 8 36 66 73 0 0 0 0
2 5 6 32 33 69 81 0 0 0
3 7 38 39 42 47 52 70 85 0
4 3 28 43 78 0 0 0 0 0
5 6 37 53 58 64 82 84 0 0
6 7 19 2 33 46 54 75 81 0
7 5 30 34 41 56 61 0 0 0
8 4 1 13 14 36 0 0 0 0
9 4 31 57 68 83 0 0 0 0
10 5 15 34 41 76 79 0 0 0
11 6 12 46 49 55 75 80 0 0
12 5 11 29 49 55 57 0 0 0
13 4 8 14 31 83 0 0 0 0
14 6 8 13 24 29 36 83 0 0
15 4 10 41 50 76 0 0 0 0
16 6 30 38 42 45 60 79 0 0
17 6 39 51 59 70 74 88 0 0
18 5 28 43 47 52 77 0 0 0
19 6 6 54 55 57 68 75 0 0
20 4 35 63 69 86 0 0 0 0
21 6 25 42 45 51 59 80 0 0
22 3 39 47 72 0 0 0 0 0
23 5 25 37 45 64 65 0 0 0
24 6 14 29 36 49 65 71 0 0
25 6 21 23 45 49 65 80 0 0
26 3 35 48 86 0 0 0 0 0
27 4 40 44 53 82 0 0 0 0
28 5 4 18 43 67 78 0 0 0
29 6 12 14 24 49 57 83 0 0
30 6 7 16 34 60 61 79 0 0
31 3 9 13 83 0 0 0 0 0
32 6 2 33 69 74 87 88 0 0
33 7 2 6 32 46 51 80 88 0
34 5 7 10 30 41 79 0 0 0
35 6 20 26 48 69 86 87 0 0
36 6 1 8 14 24 66 71 0 0
37 6 5 23 64 65 71 82 0 0
38 6 3 16 42 76 79 85 0 0
39 7 3 17 22 47 70 72 74 0
40 6 27 44 66 71 73 82 0 0
41 4 7 10 15 34 0 0 0 0
42 7 3 16 21 38 45 59 70 0
43 3 4 18 28 0 0 0 0 0
44 3 27 40 73 0 0 0 0 0
45 7 16 21 23 25 42 60 64 0
46 5 6 11 33 75 80 0 0 0
47 5 3 18 22 39 52 0 0 0
48 4 26 35 62 87 0 0 0 0
49 7 11 12 24 25 29 65 80 0
50 4 15 67 76 78 0 0 0 0
51 6 17 21 33 59 80 88 0 0
52 5 3 18 47 77 85 0 0 0
53 3 5 27 82 0 0 0 0 0
54 3 6 19 81 0 0 0 0 0
55 5 11 12 19 57 75 0 0 0
56 3 7 61 84 0 0 0 0 0
57 7 9 12 19 29 55 68 83 0
58 5 5 60 61 64 84 0 0 0
59 5 17 21 42 51 70 0 0 0
60 6 16 30 45 58 61 64 0 0
61 6 7 30 56 58 60 84 0 0
62 3 48 72 87 0 0 0 0 0
63 3 20 69 81 0 0 0 0 0
64 6 5 23 37 45 58 60 0 0
65 6 23 24 25 37 49 71 0 0
66 5 1 36 40 71 73 0 0 0
67 5 28 50 76 77 78 0 0 0
68 3 9 19 57 0 0 0 0 0
69 6 2 20 32 35 63 81 0 0
70 5 3 17 39 42 59 0 0 0
71 7 24 36 37 40 65 66 82 0
72 5 22 39 62 74 87 0 0 0
73 4 1 40 44 66 0 0 0 0
74 6 17 32 39 72 87 88 0 0
75 5 6 11 19 46 55 0 0 0
76 8 10 15 38 50 67 77 79 85
77 5 18 52 67 76 85 0 0 0
78 4 4 28 50 67 0 0 0 0
79 6 10 16 30 34 38 76 0 0
80 7 11 21 25 33 46 49 51 0
81 5 2 6 54 63 69 0 0 0
82 6 5 27 37 40 53 71 0 0
83 6 9 13 14 29 31 57 0 0
84 4 5 56 58 61 0 0 0 0
85 5 3 38 52 76 77 0 0 0
86 3 20 26 35 0 0 0 0 0
87 6 32 35 48 62 72 74 0 0
88 5 17 32 33 51 74 0 0 0
